"","Species","VTDwSD","SSD","Ovulation_Signs","Ovulation_Signs_bin"
"1","Allenopithecus_nigroviridis",3,1.93,"3","1"
"2","Alouatta_caraya",8,1.54,"0","0"
"4","Alouatta_palliata",0,1.34,"2","0"
"6","Alouatta_seniculus",4,1.28,"2","0"
"8","Aotus_trivirgatus",0,1.12,"0","0"
"9","Ateles_belzebuth",0,0.93,"0","0"
"10","Ateles_geoffroyi",0,1.07,"0","0"
"11","Brachyteles_arachnoides",0,1.19,"0","0"
"15","Callicebus_moloch",0,1.07,"0","0"
"18","Callimico_goeldii",0,1.07,"0","0"
"19","Callithrix_aurita",0,1,"0","0"
"20","Callithrix_geoffroyi",0,1,"0","0"
"21","Callithrix_jacchus",0,0.99,"0","0"
"22","Callithrix_kuhli",0,1,"0","0"
"23","Callithrix_penicillata",0,1.1,"0","0"
"24","Callithrix_pygmaea",0,0.9,"0","0"
"25","Cebus_albifrons",0,1.39,"0","0"
"26","Cebus_apella",0,1.36,"0","0"
"27","Cebus_capucinus",0,1.35,"0","0"
"29","Cercocebus_galeritus",0,1.83,"3","1"
"30","Cercocebus_torquatus",0,1.72,"3","1"
"31","Cercopithecus_ascanius",0,1.56,"0","0"
"33","Cercopithecus_cephus",0,1.49,"0","0"
"34","Cercopithecus_diana",3,1.33,"0","0"
"37","Cercopithecus_mitis",2,1.64,"0","0"
"38","Cercopithecus_mona",0,1.72,"0","0"
"39","Cercopithecus_neglectus",3,1.78,"0","0"
"40","Cercopithecus_nictitans",0,1.57,"2","0"
"44","Cercopithecus_lhoesti",4,1.73,"0","0"
"48","Chlorocebus_pygerythrus",4,1.42,"2","0"
"49","Colobus_angolensis",2,1.28,"1","0"
"50","Colobus_guereza",0,1.29,"1","0"
"51","Colobus_polykomos",0,1.19,"1","0"
"54","Erythrocebus_patas",4,1.91,"2","0"
"55","Gorilla_beringei",10,1.67,"2","0"
"56","Gorilla_gorilla_gorilla",10,2.38,"2","0"
"57","Homo_sapiens",10,1.14,"0","0"
"58","Bunopithecus_hoolock",9.5,1.12,"1","0"
"59","Hylobates_agilis",3,1.01,"2","0"
"60","Hylobates_lar",0,1.08,"2","0"
"61","Hylobates_moloch",0,1.05,"2","0"
"62","Hylobates_muelleri",2,0.94,"2","0"
"63","Hylobates_pileatus",11.5,1.01,"2","0"
"64","Hylobates_klossii",0,0.96,"2","0"
"65","Lagothrix_lagotricha",0,1.04,"0","0"
"66","Leontopithecus_chrysomelas",0,1.16,"0","0"
"67","Leontopithecus_rosalia",0,1.04,"0","0"
"68","Lophocebus_albigena",0,1.31,"3","1"
"69","Macaca_arctoides",0,1.45,"0","0"
"70","Macaca_assamensis",0,1.64,"2","0"
"71","Macaca_cyclopis",0,1.21,"3","1"
"72","Macaca_fascicularis",3,1.42,"3","1"
"73","Macaca_fuscata",0,1.73,"2","0"
"74","Macaca_mulatta",0,1.4,"2","0"
"75","Macaca_nemestrina",0,1.7,"3","1"
"76","Macaca_nigra",0,1.81,"3","1"
"77","Macaca_radiata",0,1.64,"0","0"
"78","Macaca_silenus",0,1.46,"3","1"
"79","Macaca_sinica",0,1.78,"0","0"
"80","Macaca_sylvanus",0,1.51,"3","1"
"81","Macaca_thibetana",0,1.6,"2","0"
"82","Macaca_tonkeana",0,1.66,"3","1"
"83","Mandrillus_leucophaeus",24.5,1.4,"3","1"
"84","Mandrillus_sphinx",32,2.69,"3","1"
"85","Callithrix_argentata",0,0.92,"0","0"
"88","Miopithecus_talapoin",4,1.24,"3","1"
"89","Nasalis_larvatus",9,1.99,"2","0"
"90","Nomascus_concolor",4,1.02,"1","0"
"91","Nomascus_gabriellae",8,1.43,"1","0"
"92","Nomascus_leucogenys",8.5,1.01,"1","0"
"94","Pan_paniscus",0,1.36,"3","1"
"95","Pan_troglodytes_troglodytes",0,1.23,"3","1"
"96","Papio_anubis",4,1.73,"3","1"
"97","Papio_cynocephalus",2,1.86,"3","1"
"98","Papio_hamadryas",13,1.75,"3","1"
"99","Papio_papio",6,1.78,"3","1"
"100","Papio_ursinus",2,2.01,"3","1"
"101","Piliocolobus_badius",0,1.02,"3","1"
"106","Pongo_abelii",18,2.05,"0","0"
"107","Pongo_pygmaeus",22,2.17,"0","0"
"114","Procolobus_verus",0,1.12,"3","1"
"118","Rhinopithecus_avunculus",5,1.65,"1","0"
"119","Rhinopithecus_bieti",8,1.51,"1","0"
"121","Rhinopithecus_roxellana",8,1.54,"1","0"
"123","Saguinus_fuscicollis",0,1.02,"0","0"
"124","Saguinus_geoffroyi",0,0.93,"0","0"
"125","Saguinus_imperator",0,1,"0","0"
"129","Saguinus_midas",0,0.91,"0","0"
"132","Saguinus_oedipus",0,0.94,"0","0"
"133","Saimiri_boliviensis",4,1.28,"2","0"
"135","Saimiri_sciureus",4,1.15,"0","0"
"141","Symphalangus_syndactylus",3.5,1.11,"0","0"
"142","Theropithecus_gelada",13,1.62,"3","1"
"144","Trachypithecus_cristatus",0,1.11,"0","0"
"146","Trachypithecus_francoisi",0,1.05,"1","0"
"148","Trachypithecus_johnii",0,1.07,"2","0"
"150","Trachypithecus_obscurus",0,1.09,"2","0"
"151","Trachypithecus_phayrei",0,1.08,"1","0"
"152","Trachypithecus_pileatus",0,1.22,"1","0"
